DIVISION_ID;ID;TYPE_x;ACRONYM;LABEL;MEMBER_OF_COALITION;COALITION_MEMBERS;name;alpha-2;alpha-3;country-code;iso_3166-2;region;sub-region;intermediate-region;region-code;sub-region-code;intermediate-region-code;PARTY_ID;TYPE_y;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
CZ;CZ11;PARTY;PRO ;Právo Respekt Odbornost -  Jindřicha Rajchla;;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ11;PARTY;2.15;OFFICIAL;2024-07-16 12:32
CZ;CZ90;PARTY;Other parties;Other parties;;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ90;PARTY;3.82;OFFICIAL;2024-07-16 12:32
DK;DK01;PARTY;V;Venstre, Danmarks Liberale Parti;;;Denmark;DK;DNK;208.0;ISO 3166-2:DK;Europe;Northern Europe;;150.0;154.0;;DK01;PARTY;14.72;OFFICIAL;2024-07-15 17:47
DK;DK02;PARTY;S (A);Socialdemokratiet ;;;Denmark;DK;DNK;208.0;ISO 3166-2:DK;Europe;Northern Europe;;150.0;154.0;;DK02;PARTY;15.57;OFFICIAL;2024-07-15 17:47
DK;DK03;PARTY;SF (F);Socialistisk Folkeparti ;;;Denmark;DK;DNK;208.0;ISO 3166-2:DK;Europe;Northern Europe;;150.0;154.0;;DK03;PARTY;17.42;OFFICIAL;2024-07-15 17:47
DK;DK04;PARTY;DF (O);Dansk Folkeparti ;;;Denmark;DK;DNK;208.0;ISO 3166-2:DK;Europe;Northern Europe;;150.0;154.0;;DK04;PARTY;6.37;OFFICIAL;2024-07-15 17:47
DK;DK05;PARTY;RV (B);Radikale Venstre ;;;Denmark;DK;DNK;208.0;ISO 3166-2:DK;Europe;Northern Europe;;150.0;154.0;;DK05;PARTY;7.08;OFFICIAL;2024-07-15 17:47
DK;DK06;PARTY;KF (C)  ;Det Konservative Folkeparti ;;;Denmark;DK;DNK;208.0;ISO 3166-2:DK;Europe;Northern Europe;;150.0;154.0;;DK06;PARTY;8.84;OFFICIAL;2024-07-15 17:47
DK;DK07;PARTY;EL (Ø);Enhedslisten - De Rød-Grønne;;;Denmark;DK;DNK;208.0;ISO 3166-2:DK;Europe;Northern Europe;;150.0;154.0;;DK07;PARTY;7.04;OFFICIAL;2024-07-15 17:47
DK;DK08;PARTY;ALT (Å);Alternativet ;;;Denmark;DK;DNK;208.0;ISO 3166-2:DK;Europe;Northern Europe;;150.0;154.0;;DK08;PARTY;2.66;OFFICIAL;2024-07-15 17:47
DK;DK09;PARTY;LA (I);Liberal Alliance ;;;Denmark;DK;DNK;208.0;ISO 3166-2:DK;Europe;Northern Europe;;150.0;154.0;;DK09;PARTY;6.95;OFFICIAL;2024-07-15 17:47
DK;DK10;PARTY;M;Moderaterne ;;;Denmark;DK;DNK;208.0;ISO 3166-2:DK;Europe;Northern Europe;;150.0;154.0;;DK10;PARTY;5.95;OFFICIAL;2024-07-15 17:47
